Provider,Link,Course Name,Summary,Track,Platform,Hands On,Skill Level,Difficulty,Length,Evidence of Completion
UiPath Academy,https://academy.uipath.com/courses/build-a-document-understanding-automation-in-studio-v2024-10,Build a Document Understanding Automation in Studio (v2024.10),"Teaches how to apply Document Understanding framework in Studio in realistic scenario: requirements gathering, digitization, classification, extraction, validation, best practices.","Specialized AI, Technical Skills, RPA Development",UiPath Document Understanding & Studio,Yes (hands-on practice),Intermediate,Intense,3 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/uipath-communications-mining-overview-v2024-10,UiPath Communications Mining Overview (v2024.10),"Introduces NLP-based processing of unstructured communication data (emails, messages, etc.), what the platform does, its components and use cases.","AI Literacy, Technical Skills, Machine Learning",UiPath Communications Mining,No (overview style),Novice,Easy,1 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/fundamentals-of-model-training-v2024-10,Fundamentals of Model Training (v2024.10),"Covers basics of training ML models in Communications Mining: labels, entities, metadata, steps of end-to-end training, best practices.","Machine Learning, Technical Skills, AI Literacy",UiPath Communications Mining,Yes (guided labeling practices),Novice,Easy,1 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/train-ml-models-for-document-understanding-v2024-10,Train ML Models for Document Understanding (v2024.10),"Deep-dive into building, training, deploying ML models for document understanding: selecting documents, pre-labeling, labeling, training/extraction, using out-of-the-box vs custom models.","Specialized AI, Machine Learning, Technical Skills",UiPath Document Understanding & AI Center,Yes (lots of practice opportunities),Advanced,High,5 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/the-document-understanding-process-template-in-studio-v2024-10,The Document Understanding Process Template in Studio (v2024.10),"Teaches use of an enterprise-grade template combining framework components (error handling, config, logging, validation etc.) for document understanding automations using specialized AI.","RPA Development, Specialized AI, Technical Skills",UiPath Document Understanding & Studio,"Yes (template usage, hands-on opportunities)",Advanced,Intense,3 Hours,Diploma of completion
UiPath Academy,https://academy.uipath.com/courses/active-learning-in-modern-projects-of-uipath-document-understanding-v2024-10,Active Learning in Modern Projects of UiPath Document Understanding (v2024.10),"Explores the Active Learning feature: iterative model training using human feedback, metrics, deployment & monitoring for continuous improvement in document understanding workflows.","Specialized AI, Machine Learning, Responsible AI",UiPath Document Understanding,"Yes (configuring, deploying, monitoring)",Advanced,Medium,2 Hours,Diploma of completion
Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/ai-builder-power-automate/,Use AI Builder in Power Automate,"Introduces how to add AI using AI Builder in Power Automate: using model actions, predictions, building automations, integrating with flows.","Prompt Engineering, Technical Skills, AI Literacy",Microsoft Power Platform / AI Builder / Power Automate,"Yes (guided modules, labs)",Intermediate,Medium,1 Hours,Microsoft Learn module completion certificate / transcript
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/work-power-platform-teams/,Work in Power Platform & Teams (Learning Path),"A learning path to build skills in using Power Platform and Microsoft Teams together: automation, collaboration, app building, integration.","Technical Skills, Automation, AI Literacy",Microsoft Power Platform & Teams,"Yes (labs, guided projects)",Intermediate,Medium,5 Hours,Microsoft Learn path badge / transcript of modules completed
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/implement-ai-models-microsoft-power-platform-ai-builder/,Implement AI Models with Microsoft Power Platform AI Builder,"Teaches how to use AI Builder for business value: document automation, text recognition, custom models, prediction, integrating into Power Apps & Power Automate flows.","Technical Skills, Automation, AI Literacy",Microsoft Power Platform / AI Builder,"Yes (guided modules, labs)",Intermediate,Medium,4 Hours,Microsoft Learn transcript + Learning Path badge
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/bring-ai/,Bring AI to your business with AI Builder,"Introduces how non-technical business users/app makers can build and use AI models in AI Builder, integrating into Power Apps / Power Automate; shows prompts, model management.","AI Literacy, Prompt Engineering, Business Automation",Microsoft Power Platform / AI Builder,Yes (low-code/no-code labs),Beginner,Easy,3 Hours,Microsoft Learn transcript + path badge
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/improve-business-performance-ai-builder/,Improve Business Performance with AI Builder,"Guides learners through building AI Builder models (text recognition, sentiment, object detection, key phrase extraction, receipts, business cards) to automate common tasks and improve workflow efficiency.","Technical Skills, AI Literacy, Automation",Microsoft Power Platform / AI Builder,Yes (hands-on flows & apps in labs),Novice,Medium,5 Hours,Microsoft Learn transcript + path badge
Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/get-started-ai-fundamentals/,Get started with AI Builder,"A module that helps you build your first AI model in AI Builder: what AI Builder can do, how models are used in Power Apps and Power Automate, no-code initiation.","AI Literacy, Technical Skills",Microsoft Power Platform / AI Builder,Yes (you build first model),Beginner,Low,1 Hours,Microsoft Learn module completion certificate / transcript
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/github-responsible-ai/,GitHub Responsible AI,Couldn’t find enough distinct metadata for this exact path in my current search. (Need to fetch further if you want full detail.),Responsible AI,GitHub / Microsoft learning environment,"Likely yes, includes practices/labs for responsible AI",Novice,Medium,3 Hours,Microsoft Learn / GitHub badge or transcript
Microsoft Learn,https://learn.microsoft.com/en-us/training/modules/fundamentals-generative-ai/,Fundamentals of Generative AI,"Covers the foundations of generative AI: what generative AI can do, transformer-based LMs, prompt engineering, and responsible AI concepts.","AI Literacy, Prompt Engineering, Responsible AI",Azure / Microsoft generative AI tools,"Yes (module assessments, interactive content)",Novice,Easy,1 Hours,Microsoft Learn profile + module assessment pass
Microsoft Learn,https://learn.microsoft.com/en-us/training/paths/introduction-to-ai-on-azure/,Introduction to AI on Azure,(From description) Likely a learning path introducing core AI services and tools in Azure: model building / deployment etc. Details partial.,"AI Literacy, Machine Learning, Technical Skills",Microsoft Azure,"Yes (labs, modules)",Intermediate,Medium,6 Hours,Microsoft Learn path badge / transcript (upon completing modules)
AWS Skill Builder,https://skillbuilder.aws/learn/2CCW2RKUFW/aws-cloud-for-absolute-beginners/TXVJYZM8XK,AWS Cloud for Absolute Beginners,"Introduces cloud computing fundamentals via AWS: core compute, networking, storage, security, migration, a foundation course for those new to cloud.","Technical Skills, Cloud Fundamentals, AI Literacy",AWS,Yes (interactive labs/modules),Novice,Medium,5 Hours,AWS Skill Builder completion / transcript / badge
AWS Skill Builder,https://skillbuilder.aws/learning-plan/G8ENMJ5QBE/aws-artificial-intelligence-practitioner-learning-plan/SU2A1EJM1A,AWS Artificial Intelligence Practitioner Learning Plan,"A curated learning plan of modules / courses to teach AI-practitioner-level skills on AWS, likely including ML, model deployment, inference, etc. Some labs included.","Machine Learning, Technical Skills",AWS,Yes (labs / exercises),Intermediate,Intense,20 Hours,Badge/transcript from AWS Skill Builder learning plan
AWS Skill Builder,https://skillbuilder.aws/learning-plan/5C9XQBTXBB/generative-ai-learning-plan-for-developers-includes-labs/EGATKJP13J,Generative AI Learning Plan for Developers (includes labs),"Designed for developers: hands-on with generative AI via labs; likely covers building generative models, integrating them, working with data & prompts. Source limited.","Machine Learning, Prompt Engineering, Technical Skills",AWS,Yes (explicit labs),Intermediate,Intense,16 Hours,Badge/transcript from AWS Skill Builder learning plan completion
AWS Skill Builder,https://skillbuilder.aws/learning-plan/MVQZ8QE1WJ/machine-learning-learning-plan/2PW43AVTYR,Machine Learning Learning Plan,"A structured learning plan that introduces ML fundamentals, model building / training / deployment on AWS, with labs & interactive tutorials.","Machine Learning, Technical Skills, AI Literacy",AWS (SageMaker etc.),"Yes (labs, tutorials)",Intermediate,Intense,60 Hours,AWS Skill Builder badge / transcript upon completion.
AWS Skill Builder,"https://skillbuilder.aws/learning-plan/DU45BEQ2YR/machine-learning-learning-plan,%20intelligent-document-processing-includes-labs/46ENQR6H8A","Machine Learning Learning Plan, Intelligent Document Processing (includes labs)","Focused on applying ML to document data: extracting, classifying, processing documents using AWS services & labs.","Machine Learning, Technical Skills, Specialized AI","AWS Textract, Comprehend, others for IDP",Yes (explicit labs),Intermediate,Intense,12 Hours,AWS Skill Builder transcript / badge.
AWS Skill Builder,https://skillbuilder.aws/learning-plan/3HCD821CNZ/aws-simulearn-generative-ai-practitioner/BFKGA5VM8A,AWS SimuLearn Generative AI Practitioner,"A plan aimed at developers to gain hands-on experience with generative AI: likely labs, model-use, maybe prompt engineering. (Details not well spelled out in source)","Machine Learning, Prompt Engineering, Technical Skills",AWS (Generative AI services),Presumably yes (labs),Intermediate,Intense,12 Hours,AWS Skill Builder completion / badge
AWS Skill Builder,https://skillbuilder.aws/learning-plan/TKSBCYM1TR/ai-language-service-learning-plan/X4RNM6NX73,AI Language Service Learning Plan,"Focuses on AWS language-based AI services: e.g. NLP, text generation, translation, sentiment, possibly conversational AI tools.","Machine Learning, Technical Skills, AI Literacy",AWS Language / NLP services,"Presumed yes (labs, labs or exercises)",Intermediate,Moderate,4 Hours,AWS Skill Builder transcript / badge
AWS Skill Builder,https://skillbuilder.aws/learning-plan/3PQ4WT1P1N/public-sector-aiml-learning-plan/C6J3YDQUGP,Public Sector AI/ML Learning Plan,"Tailored for use cases in the public sector: AI/ML applications, compliance, deployment, possibly governance or regulation in the public context.","Machine Learning, Responsible AI, Technical Skills",AWS,"Yes (again, labs presumably)",Intermediate,Intense,3 Hours,AWS Skill Builder badge / profile transcript
AWS Skill Builder,"https://skillbuilder.aws/learning-plan/U8K1EQXUGW/the-machine-learning-pipeline-on-aws,%20supplemental-lab-playlist/Q94Q9WT3CW","The Machine Learning Pipeline on AWS, Supplemental Lab Playlist",A collection of lab-based exercises to support the main Machine Learning Pipeline course; helps learners practice the ML pipeline phases via hands-on labs using AWS services.,"Machine Learning, Technical Skills, MLOps","AWS (SageMaker, likely other services)",Yes,Intermediate,Intense,5 Hours,AWS Skill Builder transcript/ module completion + lab artifacts
AWS Skill Builder,https://skillbuilder.aws/learn/63KTRM86DQ/amazon-bedrock-getting-started/SC2Y3HMAUE,Amazon Bedrock: Getting Started,"Introduces the fundamentals of Amazon Bedrock: its features, costs, typical use cases, and a demo/tutorial for a simple implementation via AWS console.","AI Literacy, Generative AI, Cloud / Technical Skills",Amazon Bedrock,Yes (guided tutorial),Novice,Easy,1 Hours,Certificate of completion/profile transcript
AWS Skill Builder,https://skillbuilder.aws/learn/TM4ZAXTGEZ/building-generative-ai-applications-using-amazon-bedrock/WM6Z6ZHU7K,Building Generative AI Applications using Amazon Bedrock,"Teaches how to design & build generative-AI applications using Bedrock (and tools like LangChain), covering components like RAG, foundation model selection, prompt engineering, and architecture patterns.","Generative AI, Technical Skills, Machine Learning / Data Science",Amazon Bedrock & LangChain integration,"Yes (labs, sample applications)",Advanced,Intense,4 Hours,Certificate / module completion + sample project artifacts
AWS Skill Builder,https://skillbuilder.aws/learn/T4265HJ8MX/amazon-sagemaker-unified-studio-foundations/A9GHQ8JWC6,Amazon SageMaker Unified Studio Foundations,"Intro to SageMaker Unified Studio: how to access, manage projects, work with sample notebooks, connect data, collaborate across tools in one environment.","Machine Learning, Technical Skills, MLOps",AWS SageMaker Unified Studio,Likely Yes (sample notebook etc.),Novice,Medium,1 Hours,AWS Skill Builder module completion / profile transcript
AWS Skill Builder,"https://skillbuilder.aws/learn/ZEVZZ1D4AS/introduction-to-generative-ai,%20art-of-the-possible/Y7MTGJCW1U","Introduction to Generative AI, Art of the Possible","Presents generative AI fundamentals, use cases, risks & benefits, plus a content generation example to illustrate possibilities.","AI Literacy, Generative AI, Responsible AI",General / AWS GenAI tools,Yes (videos / interactive elements),Novice,Low,1 Hours,AWS Skill Builder module completion / profile transcript
AWS Skill Builder,https://skillbuilder.aws/learn/BS7FAJ9AG5/machine-learning-essentials-for-business-and-technical-decision-makers/HF6GBX1XEM,Machine Learning Essentials for Business and Technical Decision Makers,"Covers the essentials of ML for both business and technical stakeholders, what ML is, how it works, what decisions matter, how to evaluate project feasibility. (Note: certain details inferred)","AI Literacy, Machine Learning, Technical Skills",General / AWS ML services,Probably some interactive / case-study content,Novice,Easy,2 Hours,AWS Skill Builder module completion / profile transcript
AWS Skill Builder,https://skillbuilder.aws/learn/A3U2U9VGMX/exploring-artificial-intelligence-use-cases-and-applications/M12JQTFKB5,Exploring Artificial Intelligence Use Cases and Applications,"Explores real-world AI, ML, and generative AI use cases across industries; covers capabilities, limitations, model selection techniques & business metrics.","AI Literacy, Machine Learning, Data Science",AWS / General AI & ML,No (no lab or coding required evident),Novice,Low,1 Hours,Digital badge / shareable certificate via AWS Skill Builder (module completion)
AWS Skill Builder,https://skillbuilder.aws/learn/9EBNY921AD/generative-ai-for-executives/YF6GW2BT1E,Generative AI for Executives,"Helps senior leaders understand generative AI: its business value, safe & responsible usage, and how to integrate people/process/tech to take actionable steps.","AI Literacy, Responsible AI, Technical Skills","AWS / Generative AI (including Amazon Bedrock, SageMaker)",No (mostly strategic/business content),Intermediate,Medium,4 Hours,Course completion / module completion with AWS Skill Builder; possibly certificate / badge
AWS Skill Builder,https://skillbuilder.aws/learn/GVZ97Y7P5R/planning-a-machine-learning-project/FPEBEWNEJA,Planning a Machine Learning Project,"Covers designing & planning an ML project: problem framing, data considerations, selecting models, defining success & metrics, project phases.","Machine Learning, Data Science, Technical Skills","ML project planning, not tied to a specific platform",No clear hands-on labs indicated,Intermediate,Medium,1 Hours,AWS Skill Builder transcript / module completion
AWS Skill Builder,https://skillbuilder.aws/learn/NJXS2NUZ8W/integrating-amazon-bedrock-powered-agents-with-model-context-protocol-servers-using-the-strands-agents-sdk/MGXHXB345A,Integrating Amazon Bedrock-Powered Agents with Model Context Protocol Servers using the Strands Agents SDK,Teaches how to build / integrate agents powered by Amazon Bedrock using MCP servers & the Strands Agents SDK; enabling agents to use contextual tools/data.,"RAG, MLOps, Technical Skills","Amazon Bedrock, Strands Agents SDK, Model Context Protocol",Likely Yes (SDK usage suggests coding / hands-on),Advanced,Intense,2 Hours,Module completion; perhaps code artifact if hands-on project exists
AWS Skill Builder,https://skillbuilder.aws/learn/XDC51QHE4W/amazon-q-business-getting-started/GTNUVSWBJ2,Amazon Q Business: Getting Started,"Introductory course to Amazon Q Business: what it is, core features & use cases, setting up / adopting it in business workflows.","AI Literacy, Technical Skills",Amazon Q,Probably No (overview),Novice,Easy,1 Hours,AWS Skill Builder certificate / completion status
AWS Skill Builder,https://skillbuilder.aws/learn/YZDUMAQABG/aws-simulearn-explore-the-amazon-bedrock-playgrounds/88NAE39D3Z,AWS SimuLearn: Explore the Amazon Bedrock Playgrounds,Learners engage with simulated business scenarios using Amazon Bedrock playgrounds; evaluate and compare foundation models; build proposed solutions in a guided AWS console lab.,"AI Literacy, Technical Skills, RAG",Amazon Bedrock,Yes (guided lab in console),Intermediate,Moderate,1 Hours,Digital badge / module completion via AWS Skill Builder; simulation completion plus lab artifacts likely
AWS Skill Builder,https://skillbuilder.aws/learn/16ASDUHF86/fundamentals-of-machine-learning-and-artificial-intelligence/M7JZCTA94N,Fundamentals of Machine Learning and Artificial Intelligence,"Introductory course to ML & AI fundamentals: key concepts like supervised/unsupervised learning, model evaluation, basics of AI capabilities and risks.","AI Literacy, Machine Learning, Responsible AI",General (not specific to one tech),Probably No (mostly conceptual),Novice,Easy,1 Hours,AWS Skill Builder certificate / module completion
AWS Skill Builder,https://skillbuilder.aws/learn/2AFXM2RY8A/operationalize-generative-ai-applications-fmopsllmops/437U37ZZMP,Operationalize Generative AI Applications (FMOps/LLMOps),"Covers challenges of productionizing foundation models / LLMs: selection, evaluation, RAG, fine-tuning, monitoring, governance, reference architecture.","Machine Learning, MLOps, RAG, Responsible AI",General LLMOps / AWS tools,"No lab indicated (presentations, case studies)",Intermediate,Medium,2 Hours,Digital badge / module completion via AWS Skill Builder
AWS Skill Builder,https://skillbuilder.aws/learn/39UHESUPG3/using-amazon-q-to-enhance-applications-and-developer-productivity/CZEBD9JDM9,Using Amazon Q to Enhance Applications and Developer Productivity,Teaches how to use Amazon Q (AWS’s generative AI tool) to boost developer productivity and integrate Q into applications; includes use cases and workflows.,"AI Literacy, Technical Skills, Generative AI",Amazon Q,Probably Yes (some hands-on integration expected),Novice,Medium,1 Hours,AWS Skill Builder certificate / module completion
AWS Skill Builder,https://skillbuilder.aws/learn/WA3EA8AU5Q/introduction-to-responsible-ai/YCNBK2MNCM,Introduction to Responsible AI,"Covers ethical, legal, societal aspects of AI: fairness, bias, privacy, explainability, governance, responsible use in deployment.","Responsible AI, AI Literacy",General AI / policy & governance perspective,No,Novice,Easy,1 Hours,Certificate or badge via AWS; module completion tracked
AWS Skill Builder,https://skillbuilder.aws/learn/7E4FETUE2Y/aws-simulearn-create-an-enterprise-knowledge-assistant/2F4Q5XU8WB,AWS SimuLearn: Create an Enterprise Knowledge Assistant,"Provides simulation-based learning to build a document repository / knowledge base assistant using retrieval augmented generation (RAG), integrating tools, managing context, knowledge retrieval.","RAG, Technical Skills, Machine Learning","AWS services (likely Amazon Bedrock, Amazon Q, vector stores)",Yes (simulation + likely hands-on lab),Intermediate,High,2 Hours,"Module completion via AWS, plus evidence from simulation / project artifact likely"
AWS Skill Builder,https://skillbuilder.aws/learn/NKC77SUAMZ/advanced-prompt-caching-and-response-optimization/96SCKTBPFN,Advanced Prompt Caching and Response Optimization,"Focuses on optimizing prompt performance: caching strategies, latency reduction, leveraging response optimization techniques for generative models.","Prompt Engineering, Technical Skills, MLOps",General / AWS generative models,Probably Yes (small labs / examples),Advanced,Intense,1 Hours,Module completion / certificate from AWS Skill Builder
AWS Skill Builder,https://skillbuilder.aws/learn/XR5XSR3BHZ/aws-simulearn-generate-code-for-a-webpage/SFXMVX8EFH,AWS SimuLearn: Generate Code for a Webpage,"Simulated scenario plus guided lab: design a solution for a fictional customer and then implement it in AWS console, using Bedrock and EC2.","Technical Skills, Generative AI, AI Literacy","Amazon Bedrock, EC2",Yes (guided lab in AWS Console environment),Intermediate,Moderate,1 Hours,Module completion / simulation completion; AWS Skill Builder certificate / badge
AWS Skill Builder,https://skillbuilder.aws/learn/K44XYCV4PA/prompt-engineering-basics/RWP9DRUJAZ,Prompt Engineering Basics,Introduces essential techniques for crafting prompts using Amazon Bedrock; fundamentals for AI/LLM app building.,"Prompt Engineering, AI Literacy",Amazon Bedrock,Probably No (mostly video / conceptual content),Novice,Low,1 Hours,AWS Skill Builder digital badge / module completion
AWS Skill Builder,https://skillbuilder.aws/learn/W5U4ZWMGAH/introduction-to-machine-learning-art-of-the-possible/YSW8SJ3N3Q,Introduction to Machine Learning (Art of the Possible),"High-level overview of what ML can do: typical applications, possibilities, limitations; intended to spark ideas rather than teach deep technical implementation.","AI Literacy, Machine Learning, Technical Skills",General ML,No,Novice,Low,1 Hours,Module completion / certificate
AWS Skill Builder,https://skillbuilder.aws/learn/E1TZFJG8AG/introduction-to-amazon-sagemaker/GK2ESQYCR3,Introduction to Amazon SageMaker,"Covers what Amazon SageMaker is, key components, services, and how SageMaker is used for building, training, and deploying ML models.","Machine Learning, AI Literacy, Technical Skills",Amazon SageMaker,Probably Yes (some demos / interactive content typical),Intermediate,Medium,3 Hours,Module completion / AWS badge / transcript
